x,y,z,yaw,x desired,y desired,z desired,yaw desired,time
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564158.4729099
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564158.5234201
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564158.57358
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564158.6233599
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564158.67415
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564158.7229199
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564158.7728701
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564158.82322
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564158.87374
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564158.92325
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564158.9740801
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564159.0234201
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564159.0729301
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564159.12322
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564159.1737001
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564159.22294
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564159.2728
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564159.32411
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564159.37374
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564159.42292
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564159.5660901
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564159.5662501
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564159.575
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564159.6233001
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564159.6733899
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564159.7233601
